Company,Industry
OMV Petrom," Oil & gas
"
Automobile Dacia," Consumer goods
"
Antibiotice Iasi," Health care
"
Globalworth,Consumer services
Carturesti,Consumer goods
Fildas-Catena,Health care
Porsche Romania,Consumer goods
Nestle Romania,Consumer goods
Romaqua,Industrials
eMAG,Consumer goods
Zentiva ,Health care
Pro TV,Consumer services
Astra Asigurari,Financials
Ursus,Consumer goods
Groupama,Financials
Heineken,Consumer goods
Allianz Tirica,Financials
ING,Financials
CEC Bank,Financials
Bergenbier,Consumer goods
Distrigaz Sud,Utilities
SAPE SA,Energy
Raiffeisen Bank,Financials
E.ON Gaz Distributie,Utilities
Romarm,Defence
E.ON Gaz Romania,Utilities
Alpha Bank,Financials
Enel ,Utilities
Engie Romania,Utilities
Regina Maria Reteaua privata de sanatate,Health care
evoMAG,Consumer goods
OTP Bank,Financials
Altex,Consumer goods
Iulius Holding,Consumer goods
Banca Transilvania," Financials
"
J.T. International,Consumer goods
ALRO SA,Industrials
Apa Nova,Utilities
NUCLEARELECTRICA,Energy
Citibank,Financials
UiPath Romania,Technology
Kaufland Romania,Consumer services
Avangate,Technology
Garanti Bank,Financials
Vector Watch,Technology
Unicredit,Financials
RAV,Technology
BitDefender,Technology
Rompetrol,Oil & gas
Romgaz," Oil & gas
"
RE/MAX Romania,Business services
Lidl Romania,Consumer goods
CFR Calatori,Transportation
Aerostar,Industrials
Fondul Proprietatea," Conglomerates
"
Transavia,Consumer goods
Croco,Consumer goods
Electroputere," Energy
"
Fan Courier,Consumer Services
Astra Arad,Transportation
Med Life,Health care
Flanco,Consumer goods
Penny,Consumer goods
Arabesque,Consumer goods
Auchan,Consumer goods
Cora,Consumer goods
AVON Cosmetics,Consumer goods
Metro,Consumer goods
Selgros,Consumer goods
Profi,Consumer goods
Oltchim," Industrials
"
Cemacon," Industrials
"
Purcari Wineries,Consumer goods
Farmec," Consumer services
"
THR Marea Neagra," Tourism 
"
Ford Romania," Consumer goods
"
Jumbo,Consumer Goods
Hidroelectrica," Energy
"
BCR," Financials
"
Lukoil ,Oil & gas
Carrefour Romania,Consumer goods
eJobs,Consumer services
Mecanica Ceahlau," Industrials
"
TAROM,Transportation
Zara,Consumer goods
Mairon Galati,Industrials
BRD," Financials 
"
Telekom Romania," Telecommunications
"
Vodafone Romania, Telecommunications
Orange Romania, Telecommunications
Digi, Telecommunications
Oil Terminal Constanta," Oil & gas
"
Metrorex," Transportation
"
RCS & RDS," Telecommunications 
"
Blue Air," Consumer services
"
Interagro," Consumer goods
"
DEDEMAN," Consumer goods
"
Tiriac Holdings," Conglomerates
"
Mediplus Exim," Health care
"
Mega Image," Consumer services
"
Intact Media Group," Consumer services
"
Avangate,Technology
SIVECO Romania,"	Technology
"
Romstal," Industrials
"
Amazon," Consumer services
"
Huawei,Technology
Nike," Consumer goods
"
Adobe," Technology
"
BMW,Consumer goods
Mercedes,Consumer goods
Renault,Consumer goods
Opel ,Consumer goods
Toyota,Consumer goods
Nissan,Consumer goods
Canon,Technology
Nintendo,Technology
Lenovo,Technology
NOKIA,Technology
Sony,Technology
Hyundai,Consumer goods
Honda,Consumer goods
Volkswagen,Consumer goods
Accenture," Technology
"
Coca Cola," Consumer goods
"
Microsoft," Technology
"
Berkshire Hathaway," Conglomerates
"
Verizon," Technology
"
AT&T," Technology
"
JP Morgan," Financials
"
Lockheed Martin," Defence
"
Johnson & Johnson," Health care
"
Tesla," Technology
"
Facebook," Technology
"
Apple," Technology
"
Exxon Mobil Corporation," Oil & gas 
"
Walmart," Consumer services
"
Procter & Gamble, Consumer goods
Heinz,Consumer goods
ebay,Consumer goods
Dove,Consumer goods
IBM,Technology
Lego,Consumer goods
H&M,Consumer goods
Levi's,Consumer goods
Zara,Consumer goods
New Yorker ,Consumer goods
easyJet,Transportation
Stella Artois,Consumer goods
Fairy,Consumer goods
Kinder ,Consumer goods
Schweppes,Consumer goods
Fanta,Consumer goods
Sprite,Consumer goods
Netflix,Technology
Virgin Airlines,Transportation
Virgin Radio,Consumer Services
Airbus ,Industrials
Boeing,Industrials
Disney,Consumer services
Mastercard,Financials
Siemens,Technology
FedEx,Consumer Services
Vans,Consumer goods
Puma,Consumer goods
Adidas ,Consumer goods
Intel,Technology
Kappa ,Consumer goods
USPA,Consumer goods
LG,Technology
Samsung,Technology
IKEA,Consumer goods
BNP Paribas,Financials
Bank of America,Financials
Dell ,Technology
Toshiba,Technology
Pringles,Consumer goods
Lays,Consumer goods
OREO,Consumer goods
M&M ,Consumer goods
Starbucks,Consumer services
Mars,Consumer goods
Snickers ,Consumer goods
KFC,Consumer services
Subway,Consumer services
Pizza Hut ,Consumer Services
VISA,Financials
McDonald's,Consumer Services
Continental,Industrials
Monte Banato,Consumer goods
Borsec,Consumer goods
Azomures,Industrials
Scandia Sibiu,Consumer goods
Elsaco ,Energy
Napoca SRL,Consumer goods
Cotnari ,Consumer goods
Arctic,Industrials
Tenaris ,Industrials
Expur,Industrials
Electrica SA,Energy
Cramele Recas,Consumer goods
Dero,Consumer goods
Zuzu,Consumer goods
Agricola,Industrials
Zahar Margaritar,Consumer goods
Murfatlar SA,Consumer goods
Jidvei SRL,Consumer goods
Zarea ,Consumer goods
Bere Azuga SA,Consumer goods
Dorna,Consumer goods
Topoloveni,Consumer goods
Primola,Consumer goods
Delaco,Consumer goods
Fares,Consumer goods
Vel Pitar,Consumer goods
Covalact,Consumer goods
Heidi,Consumer goods
Kandia ,Consumer goods
Centrofarm,Health care
Sensiblu,Health care
Help Net,Health care
Policolor,Industrials
Albalact,Consumer goods
Pegas,Consumer goods
Allview,Technology
E-Boda,Technology
Caroli,Technology
Pate Bucegi,Consumer goods
Pambac,Consumer goods
Frutti Fresh,Consumer goods
Perla Harghitei,Consumer goods
Evolio,Technology
Izvorul Minunilor,Consumer goods
Floriol,Consumer goods
Boromir,Consumer goods
Farmaciile Dona,Health care
Fulga ,Consumer goods
Aqua Carpatica,Consumer goods
Domo,Consumer Services
Matache Macelaru,Consumer goods
Gerovital,Consumer goods
Cris-Tim,Consumer goods
,
